Rank  	Player  	   	Alliance  	Points
1   * 	Aiglos 	write message   	M.O.A 	4.600.994
2   * 	V For Vendetta 	write message   	M.O.A 	4.129.270
3   * 	Hayati 	write message   	BARACUDA 	3.513.826
4   * 	Y O Y O 	write message   	BARACUDA 	3.145.314
5   * 	S E R T A C 	write message   	BARACUDA 	3.009.619
6   * 	rdb 	write message   	B1 	2.971.795
7   * 	Nana 	write message   	M.O.A 	2.490.892
8   * 	ziemowit 	write message   	V RP 	2.267.557
9   * 	cengizhan 	write message   	MooNStaR 	2.147.934
10   * 	Supplicium Capitis 	write message   	SVIE 	2.130.501
11   * 	grafi 	write message   	MooNStaR 	2.113.957
12   * 	vokaj 	write message   	RHCP 	2.090.818
13   * 	KSK1912 	write message   	BARACUDA 	1.962.655
14   * 	yigit 	write message   	MooNStaR 	1.958.920
15   * 	YASUSU 	write message   		1.837.849
16   * 	deftones 	write message   	UFP 	1.832.474
17   * 	RedLine 	write message   	MooNStaR 	1.830.815
18   * 	boNe 	write message   	MooNStaR 	1.782.948
19   * 	wolfwar 	write message   		1.692.723
20   * 	Myrlun 	write message   	OGJ 	1.662.159
21   * 	KoshiMazaki 	write message   	V RP 	1.617.808
22   + 	unholly 	write message   	Nuke 	1.579.718
23   - 	Carbon 	write message   	fTbZ 	1.578.046
24   * 	Flamen Dialis 	write message   	RHCP 	1.568.688
25   * 	ostry 	write message   	RP 	1.534.795
26   * 	Fabioscas 	write message   	PTuga 	1.508.384
27   * 	compmanben 	write message   	SOLID 	1.453.062
28   * 	GAM 	write message   		1.447.386
29   * 	Jazz 	write message   	FOSR 	1.369.982
30   * 	felixthecat 	write message   	fTbZ 	1.343.124
31   * 	narn federation 	write message   	B1 	1.319.511
32   * 	Wolfy 	write message   	T3M 	1.286.459
33   * 	Muad Dibh 	write message   	FREMEN 	1.273.304
34   * 	Sir Bolton of FATMAN 	write message   	fTbZ 	1.218.589
35   * 	mortalturk 	write message   	TURKLER 	1.202.771
36   * 	cavallo11 	write message   	I.C. 	1.200.219
37   * 	infinity 	write message   		1.197.633
38   * 	Gangster 	write message   	M.O.A 	1.197.189
39   * 	Johneaton 	write message   	fTbZ 	1.159.610
40   * 	Preacher Cat 	write message   	doop 	1.148.942
41   * 	Domino 	write message   	Nuke 	1.142.808
42   * 	fa freddo 	write message   	O.N.O 	1.126.749
43   * 	Mark Antony 	write message   	Lost 	1.118.156
44   * 	Dum Byeo 	write message   	M.O.A 	1.115.026
45   * 	Grumpy 	write message   	UFP 	1.104.264
46   * 	Galactus 	write message   	NC Veng 	1.100.018
47   * 	Troy 	write message   	BARACUDA 	1.098.110
48   * 	MaRiLyN MoNroE 	write message   	MooNStaR 	1.094.172
49   * 	32768 	write message   	OGJ 	1.086.962
50   * 	Gherkov 	write message   	Nuke 	1.078.268
51   + 	piri reis 	write message   	doop 	1.071.227
52   - 	Hightower 	write message   	RP 	1.069.352
53   - 	smashkevin 	write message   	PPP 	1.067.364
54   * 	dmw 	write message   	Nuke 	1.038.185
55   * 	Naepstar 	write message   	ExSo 	1.026.390
56   * 	trungnghiavn 	write message   	NOON 	1.021.040
57   + 	pinpegill13 	write message   	fTbZ 	1.019.304
